S1;M;0;3,51,75;6,5,49;3,50,66;0;0;3,32,92;0;0;0;0;8,7,118;0;0;0
S2;M;3,51,75;0;0;0;2,65,120;0;0;0;0;0;0;0;0;0;0
S3;M;6,5,49;0;0;0;0;0;0;0;7,74,80;0;0;0;0;8,28,88;0
S4;N;3,50,66;0;0;0;0;4,66,64;0;0;0;0;0;0;0;0;0
S5;N;0;2,65,120;0;0;0;0;0;6,51,36;0;0;8,43,24;0;4,10,30;3,50,13;0
S6;N;0;0;0;4,66,64;0;0;0;0;0;0;10,9,61;0;0;5,32,105;0
S7;O;3,32,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S8;M;0;0;0;0;6,51,36;0;0;0;0;10,75,46;0;0;0;0;10,30,108
S9;M;0;0;7,74,80;0;0;0;0;0;0;0;0;2,25,80;0;4,61,44;0
S10;M;0;0;0;0;0;0;0;10,75,46;0;0;0;0;0;0;0
S11;M;0;0;0;0;8,43,24;10,9,61;0;0;0;0;0;2,76,96;0;0;0
S12;M;8,7,118;0;0;0;0;0;0;0;2,25,80;0;2,76,96;0;0;0;0
S13;O;0;0;0;0;4,10,30;0;0;0;0;0;0;0;0;0;0
S14;M;0;0;8,28,88;0;3,50,13;5,32,105;0;0;4,61,44;0;0;0;0;0;0
S15;N;0;0;0;0;0;0;0;10,30,108;0;0;0;0;0;0;0
